None,None,Assumption
Assumption,Other,None
None,Assumption,Assumption
None,None,Assumption
None,None,None
None,Anecdote,Assumption
None,None,None
None,None,Assumption
None,Assumption,Other
Anecdote,Definition,Assumption
Testimony,Testimony,Assumption
None,None,Assumption
None,Assumption,None
Assumption,Assumption,Assumption
None,Anecdote,Assumption
None,None,None
None,Assumption,Assumption
None,Other,Assumption
None,Assumption,Assumption
None,Assumption,Assumption
None,Assumption,Assumption
None,Assumption,None
None,Statistics/Study,Anecdote
None,None,Assumption
None,Assumption,Assumption
Assumption,Anecdote,Assumption
None,Assumption,Assumption
None,Anecdote,Assumption
None,None,Assumption
None,Assumption,Assumption
None,Other,Other
None,None,Assumption
Assumption,Assumption,Assumption
None,None,None
Testimony,Anecdote,None
Assumption,None,Assumption
None,Assumption,Assumption
Assumption,Anecdote,Assumption
None,Assumption,Definition
None,Definition,Assumption
None,Assumption,Assumption
Assumption,Assumption,Assumption
Statistics/Study,Assumption,Statistics/Study
Statistics/Study,Statistics/Study,Statistics/Study
Statistics/Study,Statistics/Study,Statistics/Study
Statistics/Study,Statistics/Study,Statistics/Study
Common ground,Statistics/Study,Other
Assumption,Common ground,Statistics/Study
Assumption,Statistics/Study,Statistics/Study
None,Statistics/Study,Assumption
Assumption,Other,Assumption
None,None,Assumption
Assumption,None,Statistics/Study
Assumption,Statistics/Study,Assumption
Statistics/Study,Assumption,Statistics/Study
Statistics/Study,Statistics/Study,Statistics/Study
Assumption,Statistics/Study,Assumption
None,Statistics/Study,Assumption
Assumption,Assumption,Assumption
Assumption,Assumption,Assumption
None,Assumption,None
None,Statistics/Study,Anecdote
None,None,None
None,Anecdote,Assumption
None,None,None
None,None,None
None,None,Assumption
None,None,None
None,Anecdote,Assumption
Assumption,None,Assumption
Definition,Assumption,Definition
Assumption,Assumption,Assumption
None,Definition,Assumption
Anecdote,Assumption,Assumption
Anecdote,Assumption,Assumption
None,Assumption,Assumption
Assumption,Assumption,Definition
Assumption,None,Assumption
Assumption,Definition,Assumption
Assumption,Anecdote,Assumption
Testimony,Assumption,Assumption
